date,close,high,low,open
2015-08-24 00:00:00+00:00,189.55,197.4772,182.4,187.49
2015-08-25 00:00:00+00:00,187.23,195.45,186.92,195.43
2015-08-26 00:00:00+00:00,194.68,194.79,188.37,192.08
2015-08-27 00:00:00+00:00,199.16,199.42,195.21,197.02
2015-08-28 00:00:00+00:00,199.24,199.84,197.92,198.5
2015-08-31 00:00:00+00:00,197.54,199.13,197.01,198.11
2015-09-01 00:00:00+00:00,191.77,194.77,190.73,193.12
2015-09-02 00:00:00+00:00,195.41,195.46,192.42,194.62
2015-09-03 00:00:00+00:00,195.65,198.05,194.96,196.26
2015-09-04 00:00:00+00:00,192.59,193.86,191.61,192.85
2015-09-08 00:00:00+00:00,197.46,197.61,195.17,195.94
2015-09-09 00:00:00+00:00,194.76,199.47,194.35,199.32
2015-09-10 00:00:00+00:00,195.85,197.22,194.25,194.56
2015-09-11 00:00:00+00:00,196.74,196.82,194.53,195.38
2015-09-14 00:00:00+00:00,195.98,197.01,195.43,196.95
2015-09-15 00:00:00+00:00,198.45,198.99,195.96,196.61
2015-09-16 00:00:00+00:00,200.14,200.41,198.41,198.82
2015-09-17 00:00:00+00:00,199.7,202.89,199.28,200.02
2015-09-18 00:00:00+00:00,195.36,198.68,194.96,195.71
2015-09-21 00:00:00+00:00,196.44,197.68,195.21,196.44
2015-09-22 00:00:00+00:00,193.9,194.46,192.56,193.88
2015-09-23 00:00:00+00:00,193.6,194.67,192.91,194.11
2015-09-24 00:00:00+00:00,192.93,193.45,190.56,192.15
2015-09-25 00:00:00+00:00,192.87,195.0,191.81,194.64
2015-09-28 00:00:00+00:00,187.91,191.91,187.64,191.78
2015-09-29 00:00:00+00:00,188.08,189.74,186.93,188.27
2015-09-30 00:00:00+00:00,191.59,191.83,189.44,190.37
2015-10-01 00:00:00+00:00,192.13,192.49,189.82,192.08
2015-10-02 00:00:00+00:00,195.0,195.03,189.12,189.77
2015-10-05 00:00:00+00:00,198.47,198.74,196.33,196.46
2015-10-06 00:00:00+00:00,197.79,198.98,197.0,198.31
